,city,x,y
0,1,3600.0,2300.0
1,2,3100.0,3300.0
2,3,4700.0,5750.0
3,4,5400.0,5750.0
4,5,5608.0,7103.0
5,6,4493.0,7102.0
6,7,3600.0,6950.0
7,8,3100.0,7250.0
8,9,4700.0,8450.0
9,10,5400.0,8450.0
10,11,5610.0,10053.0
11,12,4492.0,10052.0
12,13,3600.0,10800.0
13,14,3100.0,10950.0
14,15,4700.0,11650.0
15,16,5400.0,11650.0
16,17,6650.0,10800.0
17,18,7300.0,10950.0
18,19,7300.0,7250.0
19,20,6650.0,6950.0
20,21,7300.0,3300.0
21,22,6650.0,2300.0
22,23,5400.0,1600.0
23,24,8350.0,2300.0
24,25,7850.0,3300.0
25,26,9450.0,5750.0
26,27,10150.0,5750.0
27,28,10358.0,7103.0
28,29,9243.0,7102.0
29,30,8350.0,6950.0
30,31,7850.0,7250.0
31,32,9450.0,8450.0
32,33,10150.0,8450.0
33,34,10360.0,10053.0
34,35,9242.0,10052.0
35,36,8350.0,10800.0
36,37,7850.0,10950.0
37,38,9450.0,11650.0
38,39,10150.0,11650.0
39,40,11400.0,10800.0
40,41,12050.0,10950.0
41,42,12050.0,7250.0
42,43,11400.0,6950.0
43,44,12050.0,3300.0
44,45,11400.0,2300.0
45,46,10150.0,1600.0
46,47,13100.0,2300.0
47,48,12600.0,3300.0
48,49,14200.0,5750.0
49,50,14900.0,5750.0
50,51,15108.0,7103.0
51,52,13993.0,7102.0
52,53,13100.0,6950.0
53,54,12600.0,7250.0
54,55,14200.0,8450.0
55,56,14900.0,8450.0
56,57,15110.0,10053.0
57,58,13992.0,10052.0
58,59,13100.0,10800.0
59,60,12600.0,10950.0
60,61,14200.0,11650.0
61,62,14900.0,11650.0
62,63,16150.0,10800.0
63,64,16800.0,10950.0
64,65,16800.0,7250.0
65,66,16150.0,6950.0
66,67,16800.0,3300.0
67,68,16150.0,2300.0
68,69,14900.0,1600.0
69,70,19800.0,800.0
70,71,19800.0,10000.0
71,72,19800.0,11900.0
72,73,19800.0,12200.0
73,74,200.0,12200.0
74,75,200.0,1100.0
75,76,200.0,800.0
