,city,x,y
0,1,6.0,4.0
1,2,15.0,15.0
2,3,24.0,18.0
3,4,33.0,12.0
4,5,48.0,12.0
5,6,57.0,14.0
6,7,67.0,10.0
7,8,77.0,10.0
8,9,86.0,15.0
9,10,6.0,21.0
10,11,17.0,26.0
11,12,23.0,25.0
12,13,32.0,35.0
13,14,43.0,23.0
14,15,55.0,35.0
15,16,65.0,36.0
16,17,78.0,39.0
17,18,87.0,35.0
18,19,3.0,53.0
19,20,12.0,44.0
20,21,28.0,53.0
21,22,33.0,49.0
22,23,47.0,46.0
23,24,55.0,52.0
24,25,64.0,50.0
25,26,71.0,57.0
26,27,87.0,57.0
27,28,4.0,72.0
28,29,15.0,78.0
29,30,22.0,70.0
30,31,34.0,71.0
31,32,42.0,79.0
32,33,54.0,77.0
33,34,66.0,79.0
34,35,78.0,67.0
35,36,87.0,73.0
36,37,7.0,81.0
37,38,17.0,95.0
38,39,26.0,98.0
39,40,32.0,97.0
40,41,43.0,88.0
41,42,57.0,89.0
42,43,64.0,85.0
43,44,78.0,83.0
44,45,83.0,98.0
45,46,5.0,109.0
46,47,13.0,111.0
47,48,25.0,102.0
48,49,38.0,119.0
49,50,46.0,107.0
50,51,58.0,110.0
51,52,67.0,110.0
52,53,74.0,113.0
53,54,88.0,110.0
54,55,2.0,124.0
55,56,17.0,134.0
56,57,23.0,129.0
57,58,36.0,131.0
58,59,42.0,137.0
59,60,53.0,123.0
60,61,63.0,135.0
61,62,72.0,134.0
62,63,87.0,129.0
63,64,2.0,146.0
64,65,16.0,147.0
65,66,25.0,153.0
66,67,38.0,155.0
67,68,42.0,158.0
68,69,57.0,154.0
69,70,66.0,151.0
70,71,73.0,151.0
71,72,86.0,149.0
72,73,5.0,177.0
73,74,13.0,162.0
74,75,25.0,169.0
75,76,35.0,177.0
76,77,46.0,172.0
77,78,54.0,166.0
78,79,65.0,174.0
79,80,73.0,161.0
80,81,86.0,162.0
81,82,2.0,195.0
82,83,14.0,196.0
83,84,28.0,189.0
84,85,38.0,187.0
85,86,46.0,195.0
86,87,57.0,194.0
87,88,63.0,188.0
88,89,77.0,193.0
89,90,85.0,194.0
90,91,8.0,211.0
91,92,12.0,217.0
92,93,22.0,210.0
93,94,34.0,216.0
94,95,47.0,203.0
95,96,58.0,213.0
96,97,66.0,206.0
97,98,78.0,210.0
98,99,85.0,204.0
