,city,x,y
0,1,64.0,96.0
1,2,80.0,39.0
2,3,69.0,23.0
3,4,72.0,42.0
4,5,48.0,67.0
5,6,58.0,43.0
6,7,81.0,34.0
7,8,79.0,17.0
8,9,30.0,23.0
9,10,42.0,67.0
10,11,7.0,76.0
11,12,29.0,51.0
12,13,78.0,92.0
13,14,64.0,8.0
14,15,95.0,57.0
15,16,57.0,91.0
16,17,40.0,35.0
17,18,68.0,40.0
18,19,92.0,34.0
19,20,62.0,1.0
20,21,28.0,43.0
21,22,76.0,73.0
22,23,67.0,88.0
23,24,93.0,54.0
24,25,6.0,8.0
25,26,87.0,18.0
26,27,30.0,9.0
27,28,77.0,13.0
28,29,78.0,94.0
29,30,55.0,3.0
30,31,82.0,88.0
31,32,73.0,28.0
32,33,20.0,55.0
33,34,27.0,43.0
34,35,95.0,86.0
35,36,67.0,99.0
36,37,48.0,83.0
37,38,75.0,81.0
38,39,8.0,19.0
39,40,20.0,18.0
40,41,54.0,38.0
41,42,63.0,36.0
42,43,44.0,33.0
43,44,52.0,18.0
44,45,12.0,13.0
45,46,25.0,5.0
46,47,58.0,85.0
47,48,5.0,67.0
48,49,90.0,9.0
49,50,41.0,76.0
50,51,25.0,76.0
51,52,37.0,64.0
52,53,56.0,63.0
53,54,10.0,55.0
54,55,98.0,7.0
55,56,16.0,74.0
56,57,89.0,60.0
57,58,48.0,82.0
58,59,81.0,76.0
59,60,29.0,60.0
60,61,17.0,22.0
61,62,5.0,45.0
62,63,79.0,70.0
63,64,9.0,100.0
64,65,17.0,82.0
65,66,74.0,67.0
66,67,10.0,68.0
67,68,48.0,19.0
68,69,83.0,86.0
69,70,84.0,94.0
